,seconds of week [s],ECEF_vel_x,ECEF_vel_y,ECEF_vel_z,IMU_ATTI(0):velN[meters/Sec],IMU_ATTI(0):velE[meters/Sec],IMU_ATTI(0):velD[meters/Sec],IMU_ATTI(0):velH[meters/Sec],IMU_ATTI(0):velComposite[meters/Sec],GPS(0):Lat[degrees],GPS(0):Long[degrees],Normalized barometer:Raw[meters]
111,594875.4,-0.8656856510788202,-1.1511715557426214,1.0095482971519232,-0.07067957,-0.122004494,-1.7470505,0.140998926,1.7527311,37.4264678,-122.175756,19.550922
112,594875.6,-0.8624493610113859,-1.129376484081149,0.9190736431628466,-0.13026959,-0.13087147,-1.6760465,0.184655104,1.6861877,37.426468,-122.17575659999999,20.07701
113,594875.8,-0.8579972181469202,-1.2069136863574386,1.0501388744451106,-0.06463112,-0.08581325,-1.805936,0.10742948699999999,1.8091285,37.4264678,-122.1757554,20.115950000000005
114,594876.0,-0.799233884550631,-1.272604906000197,1.1239780522882938,-0.020767175,-0.0010931530000000001,-1.8701166,0.020795926,1.8702322,37.4264676,-122.1757557,21.47569
115,594876.2,-0.8242353186942637,-1.1849306402727962,1.0731618530116975,-0.024113106000000002,-0.06894285,-1.7908741999999997,0.073038065,1.7923630000000002,37.4264674,-122.17575579999999,21.251686
116,594876.4,-0.8253831705078483,-1.1615628013387322,1.0465615740977228,-0.033588186,-0.082358174,-1.7594863,0.08894399800000001,1.7617328999999997,37.4264676,-122.1757555,21.849400000000003
117,594876.6,-0.7863089363090694,-1.1184315839782357,1.1057032058015466,0.04821085,-0.07225306,-1.7499136999999998,0.08686075800000001,1.7520682,37.4264678,-122.17575520000001,22.160956999999996
118,594876.8,-0.6196844251826406,-0.9112780150026083,0.9391099181957543,0.07640002,-0.041531496,-1.4389616000000003,0.08695877199999999,1.4415867,37.426468299999996,-122.1757551,21.94392
119,594877.0,-0.3368640183471143,-0.49272124376147985,0.5960442968644202,0.110798724,-0.025035137000000002,-0.8295227,0.11359187800000001,0.83726406,37.4264691,-122.17575670000001,22.291869999999996
120,594877.2,-0.18072781153023243,-0.0535166272893548,0.24884849647060037,0.11153963,-0.12676209,-0.2572682,0.168848208,0.3077282,37.4264701,-122.17575910000001,21.740246
121,594877.4,-0.2605512053705752,0.06097333412617445,0.1809385670349002,0.090670936,-0.25529397,-0.17279609,0.270917383,0.32133272,37.4264701,-122.1757604,22.646538000000007
122,594877.6,-0.32164256274700165,0.05165998172014952,0.09335008403286338,-0.003448043,-0.30204338,-0.15165974,0.302063056,0.33799818,37.4264698,-122.1757618,22.339689999999997
123,594877.8,-0.3131170133128762,0.06795578170567751,-0.019423576537519693,-0.08186352,-0.30350497,-0.06856333,0.314351557,0.32174188,37.42646920000001,-122.1757622,22.32662
124,594878.0,-0.2745649078860879,-0.012276307679712772,-0.05235972022637725,-0.13681434,-0.22814879999999998,-0.08617292,0.26602639,0.27963513,37.4264682,-122.17576329999999,22.838383
125,594878.2,-0.198148300871253,0.04091292805969715,-0.1716392571106553,-0.1794463,-0.19179243,0.05438643,0.262650553,0.26822227,37.426466999999995,-122.17576399999999,22.299435000000003
126,594878.4,-0.27452899934723973,0.019911865703761578,-0.18985390663146973,-0.22943360000000002,-0.24525914,0.019039437,0.33584493600000004,0.33638418,37.4264658,-122.1757644,23.259680000000003
127,594878.6,-0.3134558950550854,2.191215753555298e-05,-0.13056094525381923,-0.20517667,-0.2676159,-0.04682668,0.33721765299999995,0.34045336,37.4264644,-122.17576470000002,22.200114999999997
128,594878.8,-0.3007778003811836,-0.008724205195903778,-0.14422584604471922,-0.21642442,-0.25222746,-0.03903937,0.332352561,0.33463755,37.4264636,-122.17576509999998,23.260727000000003
129,594879.0,-0.1975906672887504,0.012976821511983871,-0.12212058948352933,-0.15431193,-0.17644400000000002,0.005749771,0.234402766,0.23447327,37.4264626,-122.17576580000001,22.379419999999996
130,594879.2,-0.14196049142628908,0.07010264322161674,-0.12379158521071076,-0.10824924,-0.15977797,0.06868895,0.19299455399999998,0.20485377,37.4264621,-122.17576609999999,21.810650000000003
131,594879.4,-0.06142828846350312,0.1500315424054861,-0.11694907303899527,-0.03563651,-0.13417739,0.15231243,0.138829149,0.20608884,37.4264614,-122.1757662,22.040672
132,594879.6,-0.07687156787142158,0.12726664263755083,-0.008240850642323494,0.033983912000000005,-0.13512620000000003,0.064413,0.139334125,0.15350255,37.426460999999996,-122.17576559999999,23.003555000000006
133,594879.8,-0.04345140140503645,0.06544975843280554,0.09433640912175179,0.09446080000000001,-0.073920205,-0.025346128,0.11994598599999999,0.12259472,37.4264607,-122.1757652,22.216843000000004
134,594880.0,-0.02044798480346799,0.1220115153118968,0.09069193573668599,0.12810701,-0.08456973,0.024615776000000002,0.153503897,0.15546505,37.42646,-122.17576340000001,21.751576
135,594880.2,-0.025155730079859495,0.04424997232854366,0.19833137094974518,0.17206243,-0.047145154,-0.09506125,0.17840443600000003,0.20215039999999998,37.4264597,-122.1757625,21.707140000000003
136,594880.4,0.027427482418715954,0.08532776962965727,0.19995819265022874,0.21150272,-0.024512295,-0.046201825,0.212918411,0.21787350000000003,37.4264601,-122.1757618,21.431625000000004
137,594880.6,0.06359786400571465,0.12466317042708397,0.2690909970551729,0.2983437,-0.014843723999999999,-0.04648074,0.298712727,0.30230737,37.42646,-122.1757608,21.878613
138,594880.8,0.05302255414426327,0.1542271189391613,0.3374799406155944,0.36443898,-0.039538164,-0.07264389,0.366577453,0.37370598,37.426460600000006,-122.1757595,21.024350000000005
139,594881.0,0.0939916823990643,0.23582755867391825,0.3983259964734316,0.46799362,-0.04831467,-0.037447963,0.470480965,0.47196895,37.426460999999996,-122.17575829999998,21.078724
140,594881.2,0.0820300062187016,0.21492158249020576,0.5010108612477779,0.5349136999999999,-0.04730649,-0.11896489,0.537001498,0.5500210999999999,37.4264619,-122.17575740000001,20.905144000000007
141,594881.4,0.16229320503771305,0.2881320957094431,0.48677047016099095,0.58724076,-0.018355949,-0.02715806,0.587527572,0.5881549,37.426463,-122.175757,20.565815
142,594881.6,0.15423443913459778,0.31754280161112547,0.4743319172412157,0.58988386,-0.040838732999999995,-0.0032375790000000004,0.5912958420000001,0.5913046999999999,37.426463899999995,-122.1757562,21.19061
