week,seconds of week [s],pr [m],SV,sat x ECEF [m],sat y ECEF [m],sat z ECEF [m],idk wtf this is,Pr_sigma
2092,594602.445748489,24407184.3440585,4,1379875.72948097,-25349246.1574113,-7761792.27147863,-4.93E-05,3.897301954
2092,594602.445748489,23498320.6399727,5,-21666696.2014612,4278709.05994893,14758535.9184717,-7.66E-06,2.398339664
2092,594602.445748489,20829084.3100747,7,-5131158.66290473,-15412356.8504999,21221982.8443447,-0.000215248924127,3.897301954
2092,594602.445748489,22205810.7229405,8,7845274.23130985,-18842555.5999783,16888177.6213447,-2.39E-05,3.597509496
2092,594602.445748489,21775975.4937584,9,-6952602.08712154,-25532136.2847091,2136902.13800826,-0.000156390469983,3.297717038
2092,594602.445748489,24461278.5881336,11,11975001.5999568,-23685389.2962303,2579619.23020938,-0.00036012472751,5.096471786
2092,594602.445748489,24736532.4245857,13,-13071446.3123678,11266463.5335369,20043797.1992434,-1.26E-05,4.197094412
2092,594602.445748489,23692489.3174634,23,-697170.044648607,-25423154.5960085,-6579700.69661684,-0.000136052895762,2.398339664
2092,594602.445748489,24093056.0991407,27,13216712.8348386,-7796377.57012258,21512316.1669496,-0.00021214505438,4.197094412
2092,594602.445748489,21648985.1987036,28,-22648831.1609059,-13253617.1551189,4150147.58703339,0.000738972639291,4.197094412
2092,594602.445748489,21161514.273557,30,-15150324.87541,-7202449.75011758,20659707.6268203,-0.00015400193723,4.796679328
2092,594603.445748488,24407864.4837451,4,1380298.77930341,-25348314.5393069,-7764758.45968065,-4.93E-05,2.698132122
2092,594603.445748488,23498375.084652,5,-21668438.6545806,4277940.53667695,14756240.6759643,-7.66E-06,2.99792458
2092,594603.445748488,20829097.9910455,7,-5129089.35341438,-15413998.4821424,21221233.6116567,-0.000215248930478,3.297717038
2092,594603.445748488,22205952.4187085,8,7845888.96665256,-18840491.4439485,16890222.1508293,-2.39E-05,3.297717038
2092,594603.445748488,21776507.5159968,9,-6952358.48359153,-25532472.2134667,2133758.97071695,-0.000156390478683,3.297717038
2092,594603.445748488,24460855.4901543,11,11975233.0723647,-23684876.7282695,2582640.58602749,-0.000360124715291,4.197094412
2092,594603.445748488,24735858.7065792,13,-13071727.3248015,11263903.7521441,20045052.7949075,-1.26E-05,2.99792458
2092,594603.445748488,23693152.0418327,23,-696628.537234102,-25422359.0056811,-6582708.57496061,-0.000136052896839,2.698132122
2092,594603.445748488,24093531.4779724,27,13217306.3131226,-7793680.81271041,21512957.3275359,-0.000212145067122,2.99792458
2092,594603.445748488,21648585.1699121,28,-22648323.7647028,-13253636.8402662,4153315.28484889,0.000738972636996,4.197094412
2092,594603.445748488,21161250.6356674,30,-15148340.8487959,-7204164.35949457,20660545.8279722,-0.000154001945556,3.597509496
2092,594604.445748489,24408543.68112,4,1380721.94296911,-25347382.5776006,-7767724.48241922,-4.93E-05,2.99792458
2092,594604.445748489,23498432.8448728,5,-21670180.8741493,4277172.19929748,14753945.119597,-7.66E-06,2.99792458
2092,594604.445748489,20829108.6705787,7,-5127020.20349486,-15415640.1757443,21220483.9358232,-0.000215248936831,3.297717038
2092,594604.445748489,22206090.7989352,8,7846503.87661051,-18838427.0738452,16892266.3181859,-2.39E-05,3.297717038
2092,594604.445748489,21777036.2226939,9,-6952114.81784083,-25532807.7695712,2130615.7579197,-0.000156390487382,3.597509496
