week,seconds of week [s],pr [m],SV,sat x ECEF [m],sat y ECEF [m],sat z ECEF [m],idk wtf this is
2092,594860.4,21094106.0019526,30,-14638947.1380594,-7650548.0925966,20861427.195179,-0.000154004091353
2092,594861.4,24584070.1513976,4,1493371.49390795,-25096569.4947324,-8524326.06151976,-4.93E-05
2092,594861.4,23517918.246607,5,-22110036.4816209,4085808.13932927,14153724.1523803,-7.66E-06
2092,594861.4,20833306.7392612,7,-4600654.96273029,-15839462.9806452,21013165.9227312,-0.000215250588232
2092,594861.4,22246208.8146183,8,8010383.54561006,-18300959.5790423,17405488.9796205,-2.39E-05
2092,594861.4,21915648.0486594,9,-6887287.29626224,-25606704.8750908,1321494.62904778,-0.000156392720423
2092,594861.4,24352337.7861961,11,12031293.6419066,-23541300.8046408,3360153.0877838,-0.000360121587323
2092,594861.4,24563242.967521,13,-13149661.1505713,10598931.9911453,20354492.5092204,-1.26E-05
2092,594861.4,23865395.0791405,23,-552537.05108097,-25205664.0426843,-7353714.08728796,-0.000136053187616
2092,594861.4,24218261.3067216,27,13376363.5719151,-7096771.47950479,21662815.0571454,-0.000212148344448
2092,594861.4,21544995.756448,28,-22505429.2714624,-13254286.3951164,4967440.84216791,0.00073897207513
2092,594861.4,21093860.2679864,30,-14636967.6337501,-7652306.94882182,20862152.0809435,-0.000154004099727
2092,594862.4,24584763.0646436,4,1493825.45362271,-25095549.9714883,-8527247.28999244,-4.93E-05
2092,594862.4,23517991.5026211,5,-22111716.6747772,4085087.0062383,14151349.2899448,-7.66E-06
2092,594862.4,20833325.4458946,7,-4598628.32436534,-15841118.9464995,21012302.3911607,-0.000215250594731
2092,594862.4,22246375.6037994,8,8011044.18830132,-18298841.9950066,17407438.2945489,-2.39E-05
2092,594862.4,21916188.6913054,9,-6887025.90948357,-25606944.458554,1318341.92672863,-0.000156392729102
2092,594862.4,24351923.5529274,11,12031497.2463175,-23540700.2659826,3363158.24402504,-0.000360121575295
2092,594862.4,24562597.6235685,13,-13149984.439697,10596337.6896584,20355635.3813622,-1.26E-05
2092,594862.4,23866072.4267923,23,-551961.116423209,-25204780.1807657,-7356682.25196442,-0.000136053188793
2092,594862.4,24218759.3708363,27,13377003.0428573,-7094066.62806396,21663335.4577302,-0.000212148357111
2092,594862.4,21544613.0382725,28,-22504828.8883179,-13254272.3582332,4970583.45160293,0.000738972073069
2092,594862.4,21093589.6500097,30,-14634988.1539547,-7654065.97281728,20862876.5253794,-0.0001540041081
2092,594863.4,24585439.6444858,4,1494279.53826295,-25094530.1131408,-8530168.33689843,-4.93E-05
